lon,lat,id
-117.71318000000001,33.56602,2
-117.72555,33.568329999999996,1
-117.72541000000001,33.56864,1
-117.73007,33.569759999999995,2
-117.71908,33.5606,1
-117.71862,33.56072,1
-117.71936000000001,33.56527,1
-117.71866000000001,33.56192,1
-117.71954,33.56207,1
-117.71943999999999,33.56135,1
-117.71906000000001,33.56062,1
-117.71865,33.56073,1
-117.71866999999999,33.56195,1
-117.71963999999998,33.56562,2
-117.71895,33.56465,2
-117.71963000000001,33.5607,2
-117.7186,33.56198,2
-117.71908,33.560590000000005,2
-117.71909,33.5606,2
-117.71862,33.5607,2
-117.71933,33.56112,2
-117.71866000000001,33.5613,2
-117.72027,33.563629999999996,3
-117.71972,33.56416,3
-117.71393,33.57039,1
-117.71406,33.57082,1
-117.71396000000001,33.5704,2
-117.70893000000001,33.56628,1
-117.70943999999999,33.56852,1
-117.70858,33.56731,1
-117.70848000000001,33.56839,3
-117.72457,33.57743,1
-117.72652,33.57553,2
-117.7267,33.57558,3
-117.72482,33.571290000000005,2
-117.72645,33.57615,3
-117.72733000000001,33.57477,2
-117.72735,33.5748,2
-117.72721999999999,33.574909999999996,2
-117.72712,33.57456,3
-117.71106,33.566829999999996,2
-117.71752,33.560970000000005,1
-117.71621,33.56312,1
-117.69488,33.56496,1
-117.72077,33.575140000000005,3
-117.72523999999999,33.5633,1
-117.72126999999999,33.565709999999996,2
-117.69645,33.5637,1
-117.69649,33.56373,1
-117.69643,33.56371,1
-117.69641999999999,33.56369,1
-117.69649,33.56368,1
-117.69635,33.56374,1
-117.69641999999999,33.56369,1
-117.69633999999999,33.56374,1
-117.69638,33.56375,1
-117.69628999999999,33.56377,1
-117.69644,33.56368,1
-117.69628,33.56377,1
-117.6964,33.56373,1
-117.69651,33.56369,1
-117.69638,33.563790000000004,1
-117.69648000000001,33.56369,1
-117.69646999999999,33.56367,1
-117.69638,33.56373,1
-117.69622,33.56384,1
-117.69645,33.56371,1
-117.69639,33.56373,1
-117.69641999999999,33.56365,1
-117.6962,33.56382,1
-117.69641000000001,33.56365,1
-117.69633999999999,33.563790000000004,1
-117.69641999999999,33.56365,1
-117.6963,33.56381,1
-117.69637,33.56369,1
-117.69635,33.56371,1
-117.69636000000001,33.56369,1
-117.69641999999999,33.56368,1
-117.69635,33.56377,1
-117.69643,33.56367,1
-117.69639,33.56371,1
-117.69648000000001,33.56366,1
-117.69633999999999,33.5637,1
-117.69636000000001,33.56375,2
-117.6964,33.56378,2
-117.69628999999999,33.56385,2
-117.69639,33.56374,2
-117.69646999999999,33.56365,2
-117.6964,33.56365,2
-117.69636000000001,33.56371,2
-117.69637,33.56375,2
-117.69641999999999,33.56367,2
-117.6964,33.5638,2
-117.69633999999999,33.56374,2
-117.6964,33.56369,2
-117.69641000000001,33.56365,2
-117.69641000000001,33.563790000000004,2
-117.6964,33.56367,2
-117.69633,33.56381,2
-117.69625,33.56381,2
-117.69633999999999,33.56378,2
-117.6963,33.563829999999996,2
-117.69646000000002,33.56375,2
-117.69646000000002,33.56369,2
-117.69639,33.56374,2
-117.6964,33.5637,2
-117.69639,33.56375,2
-117.69636000000001,33.56374,2
-117.69639,33.56375,2
-117.69641000000001,33.56368,2
-117.69628999999999,33.563759999999995,2
-117.6965,33.5637,2
-117.69646000000002,33.5637,2
-117.69633,33.56375,2
-117.69636000000001,33.56373,2
-117.69645,33.56362,2
-117.69628999999999,33.56374,2
-117.69635,33.56381,2
-117.69632,33.5638,2
-117.69641999999999,33.56371,2
-117.6964,33.56378,2
-117.69641999999999,33.56368,2
-117.69641000000001,33.56369,2
-117.69636000000001,33.5637,2
-117.69641000000001,33.56374,2
-117.69621000000001,33.563790000000004,2
-117.69643,33.56371,2
-117.69646000000002,33.56365,2
-117.69645,33.56367,2
-117.69633,33.563790000000004,2
-117.69643,33.5637,2
-117.69646999999999,33.56369,2
-117.69635,33.56381,2
-117.69635,33.563829999999996,2
-117.69637,33.56371,2
-117.6964,33.56367,2
-117.69618,33.5638,2
-117.69645,33.563629999999996,2
-117.69641999999999,33.56377,2
-117.69645,33.56375,2
-117.69644,33.56369,2
-117.69646000000002,33.56367,2
-117.69644,33.563629999999996,2
-117.69633,33.56369,2
-117.69645,33.56369,2
-117.69646999999999,33.56375,2
-117.69644,33.56373,2
-117.69643,33.5637,2
-117.69643,33.5637,2
-117.69643,33.5637,2
-117.69641999999999,33.56361,1
-117.69641999999999,33.5636,1
-117.6963,33.56368,1
-117.69613999999999,33.563759999999995,1
-117.6964,33.563629999999996,1
-117.69618999999999,33.56375,1
-117.69641000000001,33.563629999999996,1
-117.6964,33.5636,1
-117.6962,33.563759999999995,1
-117.69616,33.563790000000004,1
-117.69636000000001,33.56366,1
-117.69641999999999,33.56361,1
-117.69641000000001,33.563590000000005,1
-117.69633999999999,33.56366,1
-117.69639,33.56362,1
-117.6963,33.56366,1
-117.69628999999999,33.5637,2
-117.6964,33.563590000000005,2
-117.69637,33.56366,2
-117.69643,33.56362,2
-117.69631000000001,33.56368,2
-117.69628,33.56372,2
-117.69628,33.56367,2
-117.6963,33.56366,2
-117.69637,33.563629999999996,2
-117.69631000000001,33.56367,2
-117.69641000000001,33.56358,2
-117.6963,33.56368,2
-117.69633,33.563629999999996,2
-117.69616,33.56372,2
-117.69636000000001,33.563629999999996,2
-117.69627,33.56372,2
-117.69631000000001,33.5637,2
-117.6963,33.56366,2
-117.69635,33.56362,2
-117.69628999999999,33.56361,2
-117.69648000000001,33.563629999999996,1
-117.69658000000001,33.56369,1
-117.6966,33.56368,1
-117.69662,33.56365,1
-117.69655,33.56365,1
-117.69648000000001,33.56361,1
-117.69656,33.56365,1
-117.69656,33.56372,1
-117.69656,33.56366,1
-117.69651,33.56366,1
-117.69645,33.56358,1
-117.69662,33.56367,2
-117.69648000000001,33.56361,2
-117.69644,33.56354,2
-117.69648000000001,33.563629999999996,2
-117.69648000000001,33.56365,2
-117.69649,33.5636,2
-117.69645,33.5636,2
-117.6965,33.5636,2
-117.69661,33.56364,2
-117.69662,33.56362,2
-117.6965,33.56365,2
-117.69649,33.56364,2
-117.69651999999999,33.56368,2
-117.69645,33.56357,2
-117.69646999999999,33.56361,2
-117.69639,33.56349,2
-117.696,33.56381,1
-117.69611,33.563759999999995,1
-117.69643,33.56386,1
-117.69646999999999,33.56378,1
-117.69646999999999,33.563829999999996,1
-117.69649,33.56377,1
-117.69639,33.563829999999996,1
-117.69639,33.56381,1
-117.69644,33.56387,1
-117.69628999999999,33.56391,1
-117.69638,33.56385,1
-117.69646999999999,33.56391,1
-117.69628,33.56388,1
-117.69651999999999,33.563759999999995,2
-117.6963,33.56394,2
-117.69657,33.56377,2
-117.69641000000001,33.56384,2
-117.69639,33.56386,2
-117.6963,33.56391,2
-117.69636000000001,33.563829999999996,2
-117.69633999999999,33.56387,2
-117.69646000000002,33.563790000000004,2
-117.69641000000001,33.56387,2
-117.69633999999999,33.56384,2
-117.69639,33.56382,2
-117.69618999999999,33.56386,1
-117.69611,33.563759999999995,1
-117.69611,33.56378,2
-117.69618999999999,33.56386,2
-117.69618,33.56388,1
-117.69615,33.56394,1
-117.6962,33.56387,2
-117.69622,33.56391,2
-117.69631000000001,33.56348,1
-117.69608000000001,33.564170000000004,1
-117.69611,33.56422,2
-117.70251999999999,33.56539,1
-117.71319,33.5685,1
-117.69476999999999,33.56603,1
-117.72034,33.5657,2
-117.69612,33.56208,2
-117.69601000000002,33.56208,2
-117.72681000000001,33.570240000000005,2
-117.72683,33.57002,2
-117.72716000000001,33.57006,2
-117.69632,33.56418,2
-117.70872,33.56393,2
-117.69237,33.56629,2
-117.69175,33.56608,2
-117.73252,33.57577,3
-117.73253999999999,33.5757,3
-117.73253999999999,33.57574,3
-117.73258999999999,33.57568,3
-117.73252,33.575759999999995,3
-117.73248999999998,33.5757,3
-117.73253000000001,33.57573,3
-117.73263999999999,33.57568,3
-117.73255,33.57573,3
-117.73258999999999,33.57567,3
-117.73253000000001,33.57573,3
-117.73256,33.57567,3
-117.73256,33.57568,3
-117.73253000000001,33.575720000000004,3
-117.73248999999998,33.575720000000004,3
-117.73262,33.5757,3
-117.73253999999999,33.57574,3
-117.73248000000001,33.575720000000004,3
-117.73253000000001,33.57573,3
-117.73253000000001,33.575720000000004,3
-117.73258999999999,33.57574,3
-117.73248000000001,33.57575,3
-117.73253000000001,33.57575,3
-117.73257,33.57574,3
-117.73256,33.57574,3
-117.73251,33.57568,3
-117.73248000000001,33.57566,3
-117.73266000000001,33.5757,3
-117.73256,33.575720000000004,3
-117.73253999999999,33.57574,3
-117.73253000000001,33.57571,3
-117.73246,33.57573,3
-117.73248999999998,33.575720000000004,3
-117.73252,33.575759999999995,3
-117.73256,33.57578,3
-117.7326,33.575759999999995,3
-117.73258999999999,33.575790000000005,3
-117.73252,33.57577,3
-117.7325,33.57578,3
-117.73256,33.5758,3
-117.73256,33.57585,3
-117.73255,33.575790000000005,3
-117.73246,33.57578,3
-117.73252,33.57578,3
-117.7326,33.575759999999995,3
-117.73253999999999,33.57578,3
-117.73261000000001,33.57578,3
-117.73267,33.575759999999995,3
-117.73256,33.57578,3
-117.73257,33.57577,3
-117.73251,33.5758,3
-117.73258,33.575759999999995,3
-117.73251,33.5758,3
-117.7326,33.57577,3
-117.73265,33.57575,3
-117.73248000000001,33.57561,3
-117.73257,33.57563,3
-117.73241000000002,33.57566,3
-117.73231000000001,33.57569,3
-117.73236999999999,33.57575,3
-117.73245,33.5758,3
-117.73243000000001,33.575829999999996,3
-117.73241000000002,33.57565,3
-117.73244,33.57568,3
-117.73241000000002,33.575520000000004,3
-117.73226000000001,33.575790000000005,3
-117.73243000000001,33.57573,3
-117.73235,33.57568,3
-117.73243000000001,33.57573,3
-117.73328000000001,33.57651,3
-117.73248999999998,33.57588,3
-117.73268,33.57588,3
-117.73262,33.57594,3
-117.69976000000001,33.56217,3
-117.73211,33.57555,3
-117.72926000000001,33.57625,3
